ente,prestazione,priorita,max_giorni_di_attesa
ASSL1,Prima Visita cardiologica,Breve,6
ASSL1,Prima Visita chirurgia vascolare,Breve,7
ASSL1,Prima Visita endocrinologica,Breve,n/a
ASSL1,Prima Visita neurologica,Breve,6
ASSL1,Prima Visita oculistica,Breve,7
ASSL1,Prima Visita ortopedica,Breve,7
ASSL1,Prima Visita ginecologica,Breve,n/a
ASSL1,Prima Visita otorinolaringoiatrica,Breve,n/a
ASSL1,Prima Visita urologica,Breve,n/a
ASSL1,Prima Visita dermatologica,Breve,n/a
ASSL1,Prima Visita fisiatrica,Breve,10
ASSL1,Prima Visita gastroenterologica,Breve,n/a
ASSL1,Prima Visita oncologica,Breve,n/a
ASSL1,Prima Visita pneumologica,Breve,n/a
ASSL1,Mammografia bilaterale,Breve,6
ASSL1,Mammografia monolaterale,Breve,n/a
ASSL1,TC del torace,Breve,7
ASSL1,"TC del torace, senza e con contrasto",Breve,10
ASSL1,TC dell'addome superiore,Breve,n/a
ASSL1,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL1,TC dell'Addome inferiore,Breve,n/a
ASSL1,"TC dell'Addome inferiore, senza e con contrasto",Breve,n/a
ASSL1,TC dell'Addome completo,Breve,n/a
ASSL1,"TC dell'Addome completo, senza e con contrasto",Breve,n/a
ASSL1,TC del cranio e dell'encefalo,Breve,n/a
ASSL1,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL1,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL1,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL1,TC del Bacino,Breve,n/a
ASSL1,RM del cervello e del tronco encefalico,Breve,n/a
ASSL1,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,2
ASSL1,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL1,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL1,RM della colonna,Breve,n/a
ASSL1,"RM della colonna, senza e con contrasto",Breve,1
ASSL1,Diagnostica ecografica del capo e del collo,Breve,4
ASSL1,Eco (color) dopplergrafia cardiaca,Breve,n/a
ASSL1,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,7
ASSL1,Ecografia dell'addome superiore,Breve,6
ASSL1,Ecografia dell'addome inferiore,Breve,5
